-575015.4166363536	  inf
-494373.6278624793	1.40243e-01
-489303.8199576905	1.02550e-02
-483481.5576537295	1.18991e-02
-479926.2888650843	7.35347e-03
-477861.5937402429	4.30211e-03
-476623.1530500954	2.59163e-03
-475840.0625307924	1.64300e-03
-475275.7561615386	1.18592e-03
-474879.3786084389	8.33995e-04
-474632.4656963956	5.19949e-04
-474465.2478103225	3.52310e-04
-474326.8467280390	2.91699e-04
-474220.1597365334	2.24923e-04
-474137.5679259557	1.74163e-04
-474074.6504885121	1.32699e-04
-474018.0790622028	1.19330e-04
-473959.4553854608	1.23674e-04
-473904.3713166757	1.16221e-04
-473861.6074896496	9.02372e-05
